postal_code,delivery_means,weekday,available_delivery
66300,HD,Παρασκευή,1
66300,HD,Σάββατο,1
66300,HD,Κυριακή,1
61002,FRW,null,1
61003,FRW,null,1
61007,FRW,null,1
61100,HD,Τετάρτη,1
61100,HD,Πέμπτη,1
61100,HD,Παρασκευή,1
61100,HD,Σάββατο,1
61100,HD,Κυριακή,1
61200,HD,Τετάρτη,1
61200,HD,Πέμπτη,1
61200,HD,Παρασκευή,1
61200,HD,Σάββατο,1
61200,HD,Κυριακή,1
61300,FRW,null,1
61400,FRW,null,1
58001,HD,Τετάρτη,1
58001,HD,Πέμπτη,1
58001,HD,Παρασκευή,1
58001,HD,Σάββατο,1
58001,HD,Κυριακή,1
58002,FRW,null,1
58004,FRW,null,1
58005,FRW,null,1
58100,HD,Τετάρτη,1
58100,HD,Πέμπτη,1
58100,HD,Παρασκευή,1
58100,HD,Σάββατο,1
58100,HD,Κυριακή,1
58200,HD,Τετάρτη,1
58200,HD,Πέμπτη,1
58200,HD,Παρασκευή,1
58200,HD,Σάββατο,1
58200,HD,Κυριακή,1
58300,HD,Τετάρτη,1
58300,HD,Πέμπτη,1
58300,HD,Παρασκευή,1
58300,HD,Σάββατο,1
58300,HD,Κυριακή,1
58400,FRW,null,1
58500,HD,Τετάρτη,1
58500,HD,Πέμπτη,1
58500,HD,Παρασκευή,1
58500,HD,Σάββατο,1
58500,HD,Κυριακή,1
59031,HD,Τετάρτη,1
59031,HD,Πέμπτη,1
59031,HD,Παρασκευή,1
59031,HD,Σάββατο,1
59031,HD,Κυριακή,1
59034,HD,Τετάρτη,1
59034,HD,Πέμπτη,1
59034,HD,Παρασκευή,1
59034,HD,Σάββατο,1
59034,HD,Κυριακή,1
59035,HD,Τετάρτη,1
59035,HD,Πέμπτη,1
59035,HD,Παρασκευή,1
59035,HD,Σάββατο,1
59035,HD,Κυριακή,1
59131,HD,Τετάρτη,1
59131,HD,Πέμπτη,1
59131,HD,Παρασκευή,1
59131,HD,Σάββατο,1
59131,HD,Κυριακή,1
59132,HD,Τετάρτη,1
59132,HD,Πέμπτη,1
59132,HD,Παρασκευή,1
59132,HD,Σάββατο,1
59132,HD,Κυριακή,1
59150,HD,Τετάρτη,1
59150,HD,Πέμπτη,1
59150,HD,Παρασκευή,1
59150,HD,Σάββατο,1
59150,HD,Κυριακή,1
59200,HD,Τετάρτη,1
59200,HD,Πέμπτη,1
59200,HD,Παρασκευή,1
59200,HD,Σάββατο,1
59200,HD,Κυριακή,1
59300,HD,Τετάρτη,1
59300,HD,Πέμπτη,1
59300,HD,Παρασκευή,1
59300,HD,Σάββατο,1
59300,HD,Κυριακή,1
60061,HD,Τετάρτη,1
60061,HD,Πέμπτη,1
60061,HD,Παρασκευή,1
60061,HD,Σάββατο,1
60061,HD,Κυριακή,1
60062,HD,Τετάρτη,1
60062,HD,Πέμπτη,1
60062,HD,Παρασκευή,1
60062,HD,Σάββατο,1
60062,HD,Κυριακή,1
60063,HD,Τετάρτη,1
60063,HD,Πέμπτη,1
60063,HD,Παρασκευή,1
60063,HD,Σάββατο,1
60063,HD,Κυριακή,1
60064,HD,Τετάρτη,1
60064,HD,Πέμπτη,1
60064,HD,Παρασκευή,1
60064,HD,Σάββατο,1
60064,HD,Κυριακή,1
60065,HD,Τετάρτη,1
60065,HD,Πέμπτη,1
60065,HD,Παρασκευή,1
60065,HD,Σάββατο,1
60065,HD,Κυριακή,1
60066,HD,Τετάρτη,1
